Timestamp,Participant_ID,Condition,Mental_Demand,Temporal_Demand,Performance,Effort,Frustration
01-07-2026 07:09,usr_001,Dark_Pattern,8,7,6,9,8
01-07-2026 09:23,usr_002,Dark_Pattern,9,8,4,8,9
01-07-2026 10:54,usr_003,Bright_Pattern,2,3,2,2,1
01-07-2026 11:16,usr_004,Bright_Pattern,3,2,3,3,2
01-07-2026 12:24,usr_005,Dark_Pattern,7,6,5,8,7
01-07-2026 14:47,usr_006,Dark_Pattern,8,7,7,9,8
01-07-2026 16:35,usr_007,Bright_Pattern,2,2,2,2,2
01-07-2026 17:02,usr_008,Bright_Pattern,3,3,3,3,1
01-07-2026 18:12,usr_009,Dark_Pattern,7,8,6,8,7
02-07-2026 07:43,usr_010,Dark_Pattern,9,8,5,9,9
02-07-2026 07:55,usr_011,Bright_Pattern,2,2,2,2,2
02-07-2026 08:55,usr_012,Bright_Pattern,3,3,2,3,2
02-07-2026 09:41,usr_013,Dark_Pattern,8,7,6,8,8
02-07-2026 12:33,usr_014,Dark_Pattern,9,8,5,9,9
02-07-2026 13:08,usr_015,Bright_Pattern,2,3,2,2,1
02-07-2026 14:09,usr_016,Bright_Pattern,2,2,3,2,2
02-07-2026 15:18,usr_017,Dark_Pattern,7,7,6,8,7
02-07-2026 18:38,usr_018,Dark_Pattern,8,8,5,9,8
02-07-2026 19:47,usr_019,Bright_Pattern,3,2,2,3,2
02-07-2026 20:34,usr_020,Bright_Pattern,2,3,3,2,1
02-07-2026 21:06,usr_021,Dark_Pattern,8,7,6,9,8
02-07-2026 22:28,usr_022,Dark_Pattern,9,9,5,9,9
02-07-2026 22:41,usr_023,Bright_Pattern,2,2,2,2,1
03-07-2026 06:48,usr_024,Bright_Pattern,3,3,3,3,2
03-07-2026 07:27,usr_025,Dark_Pattern,7,8,6,8,7
03-07-2026 08:16,usr_026,Dark_Pattern,8,7,5,9,8
03-07-2026 08:37,usr_027,Bright_Pattern,2,2,2,2,2
03-07-2026 10:14,usr_028,Bright_Pattern,3,3,2,3,1
03-07-2026 12:59,usr_029,Dark_Pattern,8,7,6,8,8
03-07-2026 13:33,usr_030,Dark_Pattern,9,8,5,9,9
03-07-2026 14:54,usr_031,Bright_Pattern,2,2,2,2,1
03-07-2026 15:28,usr_032,Bright_Pattern,2,3,3,2,2
03-07-2026 18:23,usr_033,Dark_Pattern,7,7,6,8,7
03-07-2026 19:22,usr_034,Dark_Pattern,8,8,5,9,8
04-07-2026 08:14,usr_035,Bright_Pattern,3,2,2,3,2
04-07-2026 09:22,usr_036,Bright_Pattern,2,3,3,2,1
04-07-2026 09:28,usr_037,Dark_Pattern,7,7,6,8,7
04-07-2026 17:19,usr_038,Dark_Pattern,8,8,5,9,8
04-07-2026 19:51,usr_039,Bright_Pattern,2,2,2,2,1
04-07-2026 22:49,usr_040,Bright_Pattern,3,3,3,3,2
06-07-2026 06:33,usr_041,Dark_Pattern,8,7,6,9,8
06-07-2026 06:41,usr_042,Dark_Pattern,9,8,5,9,9
06-07-2026 08:27,usr_043,Bright_Pattern,2,2,2,2,2
06-07-2026 09:05,usr_044,Bright_Pattern,3,3,2,3,1
06-07-2026 10:28,usr_045,Dark_Pattern,7,7,6,8,7
06-07-2026 12:48,usr_046,Dark_Pattern,8,8,5,9,8
06-07-2026 13:24,usr_047,Bright_Pattern,2,3,2,2,1
06-07-2026 13:45,usr_048,Bright_Pattern,2,2,3,2,2
06-07-2026 14:44,usr_049,Dark_Pattern,7,7,6,8,7
06-07-2026 15:19,usr_050,Dark_Pattern,8,8,5,9,8
06-07-2026 17:33,usr_051,Bright_Pattern,3,2,2,3,2
06-07-2026 19:16,usr_052,Bright_Pattern,2,3,3,2,1
06-07-2026 21:07,usr_053,Dark_Pattern,8,7,6,9,8
06-07-2026 21:19,usr_054,Dark_Pattern,9,9,5,9,9
07-07-2026 06:23,usr_055,Bright_Pattern,2,2,2,2,1
07-07-2026 07:11,usr_056,Bright_Pattern,3,3,3,3,2
07-07-2026 09:02,usr_057,Dark_Pattern,7,8,6,8,7
07-07-2026 10:35,usr_058,Dark_Pattern,8,7,5,9,8
07-07-2026 11:20,usr_059,Bright_Pattern,2,2,2,2,2
07-07-2026 13:53,usr_060,Bright_Pattern,3,3,2,3,1
07-07-2026 14:26,usr_061,Dark_Pattern,8,7,6,8,8
07-07-2026 15:13,usr_062,Dark_Pattern,9,8,5,9,9
07-07-2026 16:50,usr_063,Bright_Pattern,2,2,2,2,1
07-07-2026 16:52,usr_064,Bright_Pattern,2,3,3,2,2
07-07-2026 20:14,usr_065,Dark_Pattern,7,7,6,8,7
08-07-2026 07:16,usr_066,Dark_Pattern,8,8,5,9,8
08-07-2026 07:44,usr_067,Bright_Pattern,3,2,2,3,2
08-07-2026 07:57,usr_068,Bright_Pattern,2,3,3,2,1
08-07-2026 08:39,usr_069,Dark_Pattern,7,7,6,8,7
08-07-2026 08:41,usr_070,Dark_Pattern,8,8,5,9,8
08-07-2026 12:02,usr_071,Bright_Pattern,2,2,2,2,1
08-07-2026 12:22,usr_072,Bright_Pattern,3,3,3,3,2
08-07-2026 13:54,usr_073,Dark_Pattern,8,7,6,9,8
08-07-2026 14:04,usr_074,Dark_Pattern,9,8,5,9,9
08-07-2026 14:23,usr_075,Bright_Pattern,2,2,2,2,2
08-07-2026 18:07,usr_076,Bright_Pattern,3,3,2,3,1
08-07-2026 18:34,usr_077,Dark_Pattern,7,7,6,8,7
08-07-2026 19:25,usr_078,Dark_Pattern,8,8,5,9,8
08-07-2026 21:52,usr_079,Bright_Pattern,2,3,2,2,1
08-07-2026 21:58,usr_080,Bright_Pattern,2,2,3,2,2
08-07-2026 23:15,usr_081,Dark_Pattern,7,7,6,8,7
09-07-2026 08:50,usr_082,Dark_Pattern,8,8,5,9,8
09-07-2026 09:19,usr_083,Bright_Pattern,3,2,2,3,2
09-07-2026 09:58,usr_084,Bright_Pattern,2,3,3,2,1
09-07-2026 10:01,usr_085,Dark_Pattern,8,7,6,9,8
09-07-2026 10:42,usr_086,Dark_Pattern,9,9,5,9,9
09-07-2026 12:21,usr_087,Bright_Pattern,2,2,2,2,1
09-07-2026 15:37,usr_088,Bright_Pattern,3,3,3,3,2
09-07-2026 16:28,usr_089,Dark_Pattern,7,8,6,8,7
09-07-2026 17:30,usr_090,Dark_Pattern,8,7,5,9,8
09-07-2026 17:55,usr_091,Bright_Pattern,2,2,2,2,2
09-07-2026 18:46,usr_092,Bright_Pattern,3,3,2,3,1
10-07-2026 06:07,usr_093,Dark_Pattern,8,7,6,8,8
10-07-2026 06:13,usr_094,Dark_Pattern,9,8,5,9,9
10-07-2026 07:49,usr_095,Bright_Pattern,2,2,2,2,1
10-07-2026 08:04,usr_096,Bright_Pattern,2,3,3,2,2
10-07-2026 10:13,usr_097,Dark_Pattern,7,7,6,8,7
10-07-2026 11:05,usr_098,Dark_Pattern,8,8,5,9,8
10-07-2026 12:41,usr_099,Bright_Pattern,3,2,2,3,2
10-07-2026 13:29,usr_100,Bright_Pattern,2,3,3,2,1
10-07-2026 14:17,usr_101,Dark_Pattern,7,7,6,8,7
10-07-2026 15:56,usr_102,Dark_Pattern,8,8,5,9,8
10-07-2026 19:07,usr_103,Bright_Pattern,2,2,2,2,1
10-07-2026 19:36,usr_104,Bright_Pattern,3,3,3,3,2
10-07-2026 21:20,usr_105,Dark_Pattern,8,7,6,9,8
10-07-2026 23:25,usr_106,Dark_Pattern,9,8,5,9,9
10-07-2026 23:34,usr_107,Bright_Pattern,2,2,2,2,2
11-07-2026 17:50,usr_108,Bright_Pattern,3,3,2,3,1
11-07-2026 22:04,usr_109,Dark_Pattern,7,7,6,8,7
13-07-2026 06:35,usr_110,Dark_Pattern,8,8,5,9,8
13-07-2026 07:08,usr_111,Bright_Pattern,2,3,2,2,1
13-07-2026 07:39,usr_112,Bright_Pattern,2,2,3,2,2
13-07-2026 07:50,usr_113,Dark_Pattern,7,7,6,8,7
13-07-2026 08:03,usr_114,Dark_Pattern,8,8,5,9,8
13-07-2026 11:03,usr_115,Bright_Pattern,3,2,2,3,2
13-07-2026 12:16,usr_116,Bright_Pattern,2,3,3,2,1
13-07-2026 12:19,usr_117,Dark_Pattern,8,7,6,9,8
13-07-2026 13:11,usr_118,Dark_Pattern,9,9,5,9,9
13-07-2026 13:52,usr_119,Bright_Pattern,2,2,2,2,1
13-07-2026 17:42,usr_120,Bright_Pattern,3,3,3,3,2
13-07-2026 17:44,usr_121,Dark_Pattern,7,8,6,8,7
13-07-2026 18:08,usr_122,Dark_Pattern,8,7,5,9,8
13-07-2026 18:28,usr_123,Bright_Pattern,2,2,2,2,2
13-07-2026 18:59,usr_124,Bright_Pattern,3,3,2,3,1
14-07-2026 06:55,usr_125,Dark_Pattern,8,7,6,8,8
14-07-2026 08:15,usr_126,Dark_Pattern,9,8,5,9,9
14-07-2026 08:44,usr_127,Bright_Pattern,2,2,2,2,1
14-07-2026 08:52,usr_128,Bright_Pattern,2,3,3,2,2
14-07-2026 09:44,usr_129,Dark_Pattern,7,7,6,8,7
14-07-2026 11:38,usr_130,Dark_Pattern,8,8,5,9,8
14-07-2026 14:36,usr_131,Bright_Pattern,3,2,2,3,2
14-07-2026 15:01,usr_132,Bright_Pattern,2,3,3,2,1
14-07-2026 15:55,usr_133,Dark_Pattern,7,7,6,8,7
14-07-2026 16:21,usr_134,Dark_Pattern,8,8,5,9,8
14-07-2026 16:29,usr_135,Bright_Pattern,2,2,2,2,1
14-07-2026 20:22,usr_136,Bright_Pattern,3,3,3,3,2
14-07-2026 22:57,usr_137,Dark_Pattern,8,7,6,9,8
15-07-2026 06:58,usr_138,Dark_Pattern,9,8,5,9,9
15-07-2026 07:14,usr_139,Bright_Pattern,2,2,2,2,2
15-07-2026 09:14,usr_140,Bright_Pattern,3,3,2,3,1
15-07-2026 10:03,usr_141,Dark_Pattern,7,7,6,8,7
15-07-2026 10:31,usr_142,Dark_Pattern,8,8,5,9,8
15-07-2026 11:25,usr_143,Bright_Pattern,2,3,2,2,1
15-07-2026 12:45,usr_144,Bright_Pattern,2,2,3,2,2
15-07-2026 14:09,usr_145,Dark_Pattern,7,7,6,8,7
15-07-2026 15:12,usr_146,Dark_Pattern,8,8,5,9,8
15-07-2026 16:57,usr_147,Bright_Pattern,3,2,2,3,2
15-07-2026 17:34,usr_148,Bright_Pattern,2,3,3,2,1
15-07-2026 19:28,usr_149,Dark_Pattern,8,7,6,9,8
15-07-2026 19:44,usr_150,Dark_Pattern,9,9,5,9,9
16-07-2026 06:02,usr_151,Bright_Pattern,2,2,2,2,1
16-07-2026 06:26,usr_152,Bright_Pattern,3,3,3,3,2
16-07-2026 07:42,usr_153,Dark_Pattern,7,8,6,8,7
16-07-2026 08:28,usr_154,Dark_Pattern,8,7,5,9,8
16-07-2026 09:32,usr_155,Bright_Pattern,2,2,2,2,2
16-07-2026 11:36,usr_156,Bright_Pattern,3,3,2,3,1
16-07-2026 11:58,usr_157,Dark_Pattern,8,7,6,8,8
16-07-2026 13:17,usr_158,Dark_Pattern,9,8,5,9,9
16-07-2026 14:22,usr_159,Bright_Pattern,2,2,2,2,1
16-07-2026 14:48,usr_160,Bright_Pattern,2,3,3,2,2
16-07-2026 17:05,usr_161,Dark_Pattern,7,7,6,8,7
16-07-2026 17:07,usr_162,Dark_Pattern,8,8,5,9,8
16-07-2026 18:55,usr_163,Bright_Pattern,3,2,2,3,2
16-07-2026 21:33,usr_164,Bright_Pattern,2,3,3,2,1
16-07-2026 22:39,usr_165,Dark_Pattern,7,7,6,8,7
17-07-2026 07:36,usr_166,Dark_Pattern,8,8,5,9,8
17-07-2026 08:19,usr_167,Bright_Pattern,2,2,2,2,1
17-07-2026 08:51,usr_168,Bright_Pattern,3,3,3,3,2
17-07-2026 10:08,usr_169,Dark_Pattern,8,7,6,9,8
17-07-2026 10:52,usr_170,Dark_Pattern,9,8,5,9,9
17-07-2026 13:35,usr_171,Bright_Pattern,2,2,2,2,2
17-07-2026 13:42,usr_172,Bright_Pattern,3,3,2,3,1
17-07-2026 13:46,usr_173,Dark_Pattern,7,7,6,8,7
17-07-2026 15:46,usr_174,Dark_Pattern,8,8,5,9,8
17-07-2026 16:08,usr_175,Bright_Pattern,2,3,2,2,1
17-07-2026 20:15,usr_176,Bright_Pattern,2,2,3,2,2
17-07-2026 21:11,usr_177,Dark_Pattern,7,7,6,8,7
18-07-2026 10:05,usr_178,Dark_Pattern,8,8,5,9,8
18-07-2026 11:31,usr_179,Bright_Pattern,3,2,2,3,2
18-07-2026 12:54,usr_180,Bright_Pattern,2,3,3,2,1
18-07-2026 14:29,usr_181,Dark_Pattern,8,7,6,9,8
18-07-2026 16:10,usr_182,Dark_Pattern,9,9,5,9,9
18-07-2026 16:14,usr_183,Bright_Pattern,2,2,2,2,1
18-07-2026 18:11,usr_184,Bright_Pattern,3,3,3,3,2
18-07-2026 20:05,usr_185,Dark_Pattern,7,8,6,8,7
18-07-2026 20:18,usr_186,Dark_Pattern,8,7,5,9,8
18-07-2026 21:48,usr_187,Bright_Pattern,2,2,2,2,2
19-07-2026 15:36,usr_188,Bright_Pattern,3,3,2,3,1
19-07-2026 18:37,usr_189,Dark_Pattern,8,7,6,8,8
19-07-2026 19:03,usr_190,Dark_Pattern,9,8,5,9,9
19-07-2026 19:39,usr_191,Bright_Pattern,2,2,2,2,1
19-07-2026 22:07,usr_192,Bright_Pattern,2,3,3,2,2
